	clf_name	comb	features_number	accuracy	f1_score	precision	recall	true_positives	true_negatives	false_positives	false_negatives
0	SVM_radial_TF	('stop_words',)	48118	0.8920693277310925	0.8883354880822376	0.891067113764895	0.8861489488404006	6140	4051	712	521
1	SVM_radial_TF	('stemming',)	32850	0.906687675070028	0.9038278098245115	0.9047716533643098	0.9029620274861178	6164	4194	569	497
2	SVM_radial_TF	('lemmatization',)	36771	0.9047619047619048	0.9018734725203987	0.9026734938525047	0.9011311514850608	6148	4188	575	513
3	SVM_radial_TF	('urls',)	40441	0.9032738095238095	0.9003556445744242	0.9010843555198707	0.899675594505172	6137	4182	581	524
4	SVM_radial_TF	('norm_letters',)	47582	0.9028361344537815	0.8998644542692356	0.9007712691639254	0.8990310670221273	6141	4173	590	520
5	SVM_radial_TF	('pruning10',)	4348	0.8952205882352942	0.8920394398473326	0.8928337362512182	0.8913040340010193	6094	4133	630	567
6	SVM_radial_TF	('pruning5',)	7854	0.8974964985994398	0.8943318833484057	0.8953514964764195	0.8934052531676909	6115	4138	625	546
7	SVM_radial_TF	('stop_words', 'stemming')	32764	0.8977591036414566	0.8943846607306121	0.8963768951646706	0.8927031709894835	6149	4107	656	512
8	SVM_radial_TF	('stop_words', 'lemmatization')	36707	0.8988095238095238	0.8954426575181229	0.8975684760496051	0.8936637607429259	6159	4109	654	502
9	SVM_radial_TF	('stop_words', 'urls')	40187	0.8916316526610645	0.8878715223385609	0.8906512492858111	0.885653981613954	6139	4047	716	522
10	SVM_radial_TF	('stop_words', 'norm_letters')	47328	0.8925070028011205	0.8887698621678182	0.8915900248688216	0.8865242678615686	6145	4051	712	516
11	SVM_radial_TF	('stop_words', 'pruning10')	4169	0.8820028011204482	0.8779730899063377	0.8804220071458151	0.8759910967362359	6076	4000	763	585
12	SVM_radial_TF	('stop_words', 'pruning5')	7650	0.8882177871148459	0.8844193138205672	0.8868256755438494	0.8824572847869672	6109	4038	725	552
13	SVM_radial_TF	('stemming', 'urls')	24920	0.9067752100840336	0.9038850389681776	0.9049863886607659	0.9028875310337532	6170	4189	574	491
14	SVM_radial_TF	('stemming', 'norm_letters')	32041	0.9059873949579832	0.9030939941284768	0.9040928741567376	0.9021820447443312	6162	4188	575	499
15	SVM_radial_TF	('stemming', 'pruning10')	3574	0.9043242296918768	0.9013333172134336	0.9025438429202104	0.9002473275914593	6160	4171	592	501
16	SVM_radial_TF	('stemming', 'pruning5')	5742	0.9044117647058824	0.9013392857142858	0.9029549401518747	0.8999335347285378	6174	4158	605	487
17	SVM_radial_TF	('lemmatization', 'urls')	28839	0.9051995798319328	0.9023274435848493	0.9031145596187965	0.9015962066601877	6150	4191	572	511
18	SVM_radial_TF	('lemmatization', 'norm_letters')	36069	0.9060749299719888	0.9032173274475952	0.9040616102891166	0.9024365808564825	6157	4194	569	504
19	SVM_radial_TF	('lemmatization', 'pruning10')	3598	0.9029236694677871	0.8998637422403726	0.9011873648847524	0.8986873621078861	6156	4159	604	505
20	SVM_radial_TF	('lemmatization', 'pruning5')	6031	0.9051995798319328	0.9022113912049807	0.9035425568625859	0.9010278776851148	6169	4172	591	492
21	SVM_radial_TF	('urls', 'norm_letters')	39652	0.9031862745098039	0.900262389621117	0.9010045426083249	0.8995706186496186	6137	4181	582	524
22	SVM_radial_TF	('urls', 'pruning10')	4340	0.8942577030812325	0.891037191489523	0.8918700071358674	0.8902689477952124	6090	4126	637	571
23	SVM_radial_TF	('urls', 'pruning5')	7842	0.8965336134453782	0.8933492561078767	0.8943245411220985	0.8924599031158429	6108	4134	629	553
24	SVM_radial_TF	('norm_letters', 'pruning10')	4353	0.895483193277311	0.8923266665529961	0.8930543691110858	0.8916488736189986	6093	4137	626	568
25	SVM_radial_TF	('norm_letters', 'pruning5')	7847	0.897671568627451	0.8945320924680824	0.8954685290506186	0.8936750289814367	6113	4142	621	548
26	SVM_radial_TF	('stop_words', 'stemming', 'urls')	24834	0.8984593837535014	0.895094475484252	0.8971540916704629	0.8933635055259914	6155	4109	654	506
27	SVM_radial_TF	('stop_words', 'stemming', 'norm_letters')	31957	0.8984593837535014	0.895168782512942	0.8968827776172965	0.8936925380905073	6144	4120	643	517
28	SVM_radial_TF	('stop_words', 'stemming', 'pruning10')	3495	0.8944327731092437	0.89086337690715	0.8932253809085016	0.8889234728376982	6142	4076	687	519
29	SVM_radial_TF	('stop_words', 'stemming', 'pruning5')	5662	0.895045518207283	0.8915428441870401	0.893696816314554	0.8897480399805298	6139	4086	677	522
30	SVM_radial_TF	('stop_words', 'lemmatization', 'urls')	28775	0.898984593837535	0.8956235525743199	0.8977503015065251	0.8938438004027127	6160	4110	653	501
31	SVM_radial_TF	('stop_words', 'lemmatization', 'norm_letters')	36004	0.8988970588235294	0.8955770311349367	0.8974956747404845	0.8939482089063968	6153	4116	647	508
32	SVM_radial_TF	('stop_words', 'lemmatization', 'pruning10')	3536	0.8939075630252101	0.8903347527465085	0.8926281633130948	0.888443177960977	6137	4075	688	524
33	SVM_radial_TF	('stop_words', 'lemmatization', 'pruning5')	5968	0.8961834733893558	0.8926592038672927	0.8950979211134811	0.8906640453329273	6154	4084	679	507
34	SVM_radial_TF	('stop_words', 'urls', 'norm_letters')	39398	0.8922443977591037	0.8885460897199229	0.8911436785862861	0.8864486367054658	6137	4056	707	524
35	SVM_radial_TF	('stop_words', 'urls', 'pruning10')	4161	0.8812149859943977	0.8770648278902848	0.8798887148418928	0.8748369296770195	6083	3984	779	578
36	SVM_radial_TF	('stop_words', 'urls', 'pruning5')	7638	0.8876050420168067	0.883819985582935	0.8860769063508789	0.8819617502086515	6101	4039	724	560
37	SVM_radial_TF	('stop_words', 'norm_letters', 'pruning10')	4175	0.8820903361344538	0.878075639808169	0.8804765452706146	0.8761259846431088	6075	4002	761	586
38	SVM_radial_TF	('stop_words', 'norm_letters', 'pruning5')	7643	0.8893557422969187	0.8855996911368109	0.8879966827225099	0.8836424986012412	6115	4045	718	546
39	SVM_radial_TF	('stemming', 'urls', 'norm_letters')	24113	0.9064250700280112	0.9034876845493605	0.9047635083201298	0.9023479794062619	6174	4181	582	487
40	SVM_radial_TF	('stemming', 'urls', 'pruning10')	3565	0.9043242296918768	0.9013022147543183	0.9026602023496433	0.9000977673348611	6165	4166	597	496
41	SVM_radial_TF	('stemming', 'urls', 'pruning5')	5727	0.9058998599439776	0.9028968497654752	0.9044110999771962	0.9015685640163444	6179	4170	593	482
42	SVM_radial_TF	('stemming', 'norm_letters', 'pruning10')	3583	0.9035364145658263	0.9004863701026569	0.9018565656747026	0.8992726328401606	6161	4161	602	500
43	SVM_radial_TF	('stemming', 'norm_letters', 'pruning5')	5742	0.9048494397759104	0.9018191429208255	0.9032991108806199	0.9005182381089432	6172	4165	598	489
44	SVM_radial_TF	('lemmatization', 'urls', 'norm_letters')	28138	0.9052871148459384	0.902390395963345	0.9033028167170398	0.9015516222591429	6155	4187	576	506
45	SVM_radial_TF	('lemmatization', 'urls', 'pruning10')	3590	0.9032738095238095	0.9002312148897675	0.9015264663226528	0.8990773534787795	6157	4162	601	504
46	SVM_radial_TF	('lemmatization', 'urls', 'pruning5')	6017	0.9057247899159664	0.9027470130744748	0.904109744171856	0.9015380846131558	6173	4174	589	488
47	SVM_radial_TF	('lemmatization', 'norm_letters', 'pruning10')	3601	0.9032738095238095	0.9002312148897675	0.9015264663226528	0.8990773534787795	6157	4162	601	504
48	SVM_radial_TF	('lemmatization', 'norm_letters', 'pruning5')	6014	0.9043242296918768	0.9013333172134336	0.9025438429202104	0.9002473275914593	6160	4171	592	501
49	SVM_radial_TF	('urls', 'norm_letters', 'pruning10')	4347	0.8947829131652661	0.8915851189324047	0.8923920062087085	0.8908389788258924	6092	4130	633	569
50	SVM_radial_TF	('urls', 'norm_letters', 'pruning5')	7833	0.8986344537815126	0.8955082335991507	0.8965167632362823	0.8945904669819651	6121	4145	618	540
51	SVM_radial_TF	('stop_words', 'stemming', 'urls', 'norm_letters')	24029	0.8969712885154062	0.8936085732858539	0.8954242118093019	0.8920575088027006	6139	4108	655	522
52	SVM_radial_TF	('stop_words', 'stemming', 'urls', 'pruning10')	3486	0.8929446778711485	0.889343054697703	0.891614633773383	0.8874679158578094	6131	4070	693	530
53	SVM_radial_TF	('stop_words', 'stemming', 'urls', 'pruning5')	5647	0.8955707282913166	0.8921484214600428	0.8940198135638429	0.8905573674217668	6133	4098	665	528
54	SVM_radial_TF	('stop_words', 'stemming', 'norm_letters', 'pruning10')	3505	0.8938200280112045	0.8902406838422519	0.892549908003416	0.8883382021054238	6137	4074	689	524
55	SVM_radial_TF	('stop_words', 'stemming', 'norm_letters', 'pruning5')	5662	0.895483193277311	0.8920475793421946	0.893965473070008	0.890422479514894	6134	4096	667	527
56	SVM_radial_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters')	28073	0.8982843137254902	0.8949136038902592	0.8969723170865405	0.8931834658662046	6154	4108	655	507
57	SVM_radial_TF	('stop_words', 'lemmatization', 'urls', 'pruning10')	3528	0.8928571428571429	0.8891981172443303	0.8917160113359728	0.8871535556430188	6138	4062	701	523
58	SVM_radial_TF	('stop_words', 'lemmatization', 'urls', 'pruning5')	5954	0.8960084033613446	0.8924922817294312	0.8948636607210719	0.8905438297757797	6151	4085	678	510
59	SVM_radial_TF	('stop_words', 'lemmatization', 'norm_letters', 'pruning10')	3538	0.8939950980392157	0.8904288137685351	0.8927064325398848	0.8885481538165303	6137	4076	687	524
60	SVM_radial_TF	('stop_words', 'lemmatization', 'norm_letters', 'pruning5')	5950	0.896796218487395	0.8933032409551221	0.8956958627683572	0.8913390522191605	6156	4089	674	505
61	SVM_radial_TF	('stop_words', 'urls', 'norm_letters', 'pruning10')	4168	0.8813900560224089	0.8772786359620661	0.8799698813451424	0.8751366175420848	6080	3989	774	581
62	SVM_radial_TF	('stop_words', 'urls', 'norm_letters', 'pruning5')	7629	0.8869922969187675	0.8831751492795066	0.8854767498596625	0.8812867433224183	6099	4034	729	562
63	SVM_radial_TF	('stemming', 'urls', 'norm_letters', 'pruning10')	3575	0.9033613445378151	0.9003246458161407	0.9016054552098263	0.8991823293343326	6157	4163	600	504
64	SVM_radial_TF	('stemming', 'urls', 'norm_letters', 'pruning5')	5725	0.904936974789916	0.9019063517902948	0.9034018005067883	0.9005933019131767	6173	4165	598	488
65	SVM_radial_TF	('lemmatization', 'urls', 'norm_letters', 'pruning10')	3594	0.9032738095238095	0.9002312148897675	0.9015264663226528	0.8990773534787795	6157	4162	601	504
66	SVM_radial_TF	('lemmatization', 'urls', 'norm_letters', 'pruning5')	5998	0.9037114845938375	0.9006732536082537	0.9020143121940138	0.8994825845512671	6161	4163	600	500
67	SVM_radial_TF	('stop_words', 'stemming', 'urls', 'norm_letters', 'pruning10')	3497	0.8952205882352942	0.8917026004033712	0.893954657013107	0.8898383434863577	6143	4084	679	518
68	SVM_radial_TF	('stop_words', 'stemming', 'urls', 'norm_letters', 'pruning5')	5645	0.8961834733893558	0.8928191172934044	0.8945232959571856	0.8913520225132787	6131	4107	656	530
69	SVM_radial_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters', 'pruning10')	3531	0.8939950980392157	0.8903785403784441	0.8928869633498037	0.888338769457293	6144	4069	694	517
70	SVM_radial_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters', 'pruning5')	5934	0.896796218487395	0.8933032409551221	0.8956958627683572	0.8913390522191605	6156	4089	674	505
71	SVM_radial_TF-IDF	('stop_words',)	48064	0.8915441176470589	0.8882995992162597	0.8888515251243815	0.8877775498641455	6066	4119	642	597
72	SVM_radial_TF-IDF	('stemming',)	32872	0.9041491596638656	0.901483995524076	0.9012146411733892	0.9017612333286142	6104	4225	536	559
73	SVM_radial_TF-IDF	('lemmatization',)	36738	0.9057247899159664	0.9031434189671347	0.9027156211455951	0.9035916351346738	6106	4241	520	557
74	SVM_radial_TF-IDF	('urls',)	40316	0.9027485994397759	0.9001324544477599	0.899536180089967	0.9007704237330532	6081	4232	529	582
75	SVM_radial_TF-IDF	('norm_letters',)	47534	0.9046743697478992	0.9020871879795176	0.901573339309544	0.9026311825000914	6096	4239	522	567
76	SVM_radial_TF-IDF	('pruning10',)	4350	0.8922443977591037	0.8892087445791305	0.8890820702443951	0.889337197840665	6042	4151	610	621
