	clf_name	comb	features_number	accuracy	f1_score	precision	recall	true_positives	true_negatives	false_positives	false_negatives
0	Bayesiano_TF	('stop_words',)	23179	0.8926666666666667	0.8924709159429788	0.8945289958882208	0.8923292329232924	1403	1275	210	112
1	Bayesiano_TF	('stemming',)	17645	0.879	0.8788400554109264	0.8801796744905772	0.8787245391205787	1373	1264	221	142
2	Bayesiano_TF	('lemmatization',)	18669	0.8773333333333333	0.8772460416296033	0.8778261401965914	0.8771543821048772	1356	1276	209	159
3	Bayesiano_TF	('urls',)	15636	0.8563333333333333	0.8561891229816566	0.8570823676234622	0.856102276894356	1332	1237	248	183
4	Bayesiano_TF	('norm_letters',)	23296	0.891	0.8908451335010751	0.8923480491841621	0.8907124045737906	1393	1280	205	122
5	Bayesiano_TF	('pruning10',)	1226	0.8473333333333334	0.8469507101086049	0.8497160332022717	0.846918025135847	1346	1196	289	169
6	Bayesiano_TF	('pruning5',)	2611	0.8633333333333333	0.8631688927493308	0.864319232283965	0.863072973964063	1347	1243	242	168
7	Bayesiano_TF	('stop_words', 'stemming')	17565	0.8736666666666667	0.8734996721783501	0.8748253139886237	0.8733906724005733	1365	1256	229	150
8	Bayesiano_TF	('stop_words', 'lemmatization')	18607	0.882	0.8818687430478309	0.8829463499459376	0.8817548421508817	1373	1273	212	142
9	Bayesiano_TF	('stop_words', 'urls')	15446	0.8516666666666667	0.8515637343629066	0.8520943014483255	0.8514884821815515	1317	1238	247	198
10	Bayesiano_TF	('stop_words', 'norm_letters')	23107	0.8913333333333333	0.8911413065981725	0.8931160367505795	0.8910024335766911	1400	1274	211	115
11	Bayesiano_TF	('stop_words', 'pruning10')	1106	0.8393333333333334	0.8388977127486055	0.8418842223217684	0.8388972230556389	1337	1181	304	178
12	Bayesiano_TF	('stop_words', 'pruning5')	2473	0.861	0.8608229513299752	0.8620553049337597	0.8607294062739608	1345	1238	247	170
13	Bayesiano_TF	('stemming', 'urls')	9912	0.8453333333333334	0.8452232698808042	0.8457659382618472	0.8451511817848452	1308	1228	257	207
14	Bayesiano_TF	('stemming', 'norm_letters')	17560	0.878	0.877853206698183	0.879037714549755	0.8777411074440777	1369	1265	220	146
15	Bayesiano_TF	('stemming', 'pruning10')	1350	0.8406666666666667	0.8402883986116451	0.8428449162702729	0.8402640264026403	1334	1188	297	181
16	Bayesiano_TF	('stemming', 'pruning5')	2524	0.859	0.8588400029856063	0.8598963526329214	0.8587492082541588	1339	1238	247	176
17	Bayesiano_TF	('lemmatization', 'urls')	10936	0.842	0.8419324876091522	0.8421792773438456	0.8418775210854419	1294	1232	253	221
18	Bayesiano_TF	('lemmatization', 'norm_letters')	18621	0.878	0.8779042769531313	0.8785710563552477	0.8778077807780778	1359	1275	210	156
19	Bayesiano_TF	('lemmatization', 'pruning10')	1244	0.8353333333333334	0.8350139202830013	0.8369936024103982	0.8349768310164349	1319	1187	298	196
20	Bayesiano_TF	('lemmatization', 'pruning5')	2427	0.854	0.8538854461898129	0.8545201646684384	0.8538053805380539	1323	1239	246	192
21	Bayesiano_TF	('urls', 'norm_letters')	15563	0.856	0.85584617184827	0.8568158240943047	0.8557589092242557	1333	1235	250	182
22	Bayesiano_TF	('urls', 'pruning10')	1220	0.8	0.7998117340574514	0.8005352771815152	0.7997733106643998	1246	1154	331	269
23	Bayesiano_TF	('urls', 'pruning5')	2589	0.8216666666666667	0.8215300578409407	0.8221019553072626	0.8214721472147215	1274	1191	294	241
24	Bayesiano_TF	('norm_letters', 'pruning10')	1226	0.8463333333333334	0.845953334441994	0.848669201861612	0.845921258792546	1344	1195	290	171
25	Bayesiano_TF	('norm_letters', 'pruning5')	2607	0.864	0.8638363615651876	0.8649882542051373	0.8637397073040638	1348	1244	241	167
26	Bayesiano_TF	('stop_words', 'stemming', 'urls')	9832	0.8466666666666667	0.8465968511891634	0.8468734858842702	0.8465379871320465	1302	1238	247	213
27	Bayesiano_TF	('stop_words', 'stemming', 'norm_letters')	17481	0.8743333333333333	0.8741792028568329	0.8753847183192828	0.874070740407374	1364	1259	226	151
28	Bayesiano_TF	('stop_words', 'stemming', 'pruning10')	1283	0.831	0.8306468233586242	0.8327948079652242	0.8306263959729305	1315	1178	307	200
29	Bayesiano_TF	('stop_words', 'stemming', 'pruning5')	2451	0.8513333333333334	0.8511612757681213	0.8522282290960124	0.851078441177451	1328	1226	259	187
30	Bayesiano_TF	('stop_words', 'lemmatization', 'urls')	10874	0.846	0.8459463208513545	0.8461219248692022	0.8458979231256458	1297	1241	244	218
31	Bayesiano_TF	('stop_words', 'lemmatization', 'norm_letters')	18559	0.881	0.8808540462066031	0.8820754716981132	0.8807380738073807	1374	1269	216	141
32	Bayesiano_TF	('stop_words', 'lemmatization', 'pruning10')	1189	0.835	0.834722167964348	0.8363838136901698	0.8346734673467346	1314	1191	294	201
33	Bayesiano_TF	('stop_words', 'lemmatization', 'pruning5')	2370	0.851	0.8509117231747554	0.8513319469642613	0.8508417508417508	1313	1240	245	202
34	Bayesiano_TF	('stop_words', 'urls', 'norm_letters')	15374	0.8533333333333334	0.8532289628180039	0.8537809887455332	0.8531519818648532	1320	1240	245	195
35	Bayesiano_TF	('stop_words', 'urls', 'pruning10')	1100	0.7863333333333333	0.7863331196664529	0.7863916623997269	0.7864019735306864	1181	1178	307	334
36	Bayesiano_TF	('stop_words', 'urls', 'pruning5')	2451	0.8103333333333333	0.8102648389401907	0.8104367157184567	0.8102243557689102	1244	1187	298	271
37	Bayesiano_TF	('stop_words', 'norm_letters', 'pruning10')	1106	0.8396666666666667	0.8392150216625167	0.8423416876601425	0.8392205887255393	1339	1180	305	176
38	Bayesiano_TF	('stop_words', 'norm_letters', 'pruning5')	2469	0.8623333333333333	0.8621644848272467	0.863341362237388	0.8620695402873622	1346	1241	244	169
39	Bayesiano_TF	('stemming', 'urls', 'norm_letters')	9827	0.8453333333333334	0.8452232698808042	0.8457659382618472	0.8451511817848452	1308	1228	257	207
40	Bayesiano_TF	('stemming', 'urls', 'pruning10')	1344	0.792	0.7918208734270911	0.7924493166259109	0.7917858452511918	1232	1144	341	283
41	Bayesiano_TF	('stemming', 'urls', 'pruning5')	2502	0.8186666666666667	0.8185562682360956	0.8189634719314638	0.8185018501850185	1265	1191	294	250
42	Bayesiano_TF	('stemming', 'norm_letters', 'pruning10')	1349	0.84	0.8396507950648079	0.8419580419580419	0.8396172950628396	1330	1190	295	185
43	Bayesiano_TF	('stemming', 'norm_letters', 'pruning5')	2523	0.858	0.8578604505490057	0.8587317087084665	0.8577724439110578	1334	1240	245	181
44	Bayesiano_TF	('lemmatization', 'urls', 'norm_letters')	10888	0.8426666666666667	0.8425994391382274	0.842846599172254	0.8425442544254426	1295	1233	252	220
45	Bayesiano_TF	('lemmatization', 'urls', 'pruning10')	1238	0.793	0.7928967014769921	0.7931790026769949	0.7928559522618929	1223	1156	329	292
46	Bayesiano_TF	('lemmatization', 'urls', 'pruning5')	2405	0.8113333333333334	0.8112675705668109	0.8114293389861492	0.8112277894456112	1245	1189	296	270
47	Bayesiano_TF	('lemmatization', 'norm_letters', 'pruning10')	1240	0.8363333333333334	0.8360394978957288	0.8378435151350463	0.8359935993599359	1318	1191	294	197
48	Bayesiano_TF	('lemmatization', 'norm_letters', 'pruning5')	2414	0.8536666666666667	0.8535545708264916	0.854167854292555	0.8534753475347535	1322	1239	246	193
49	Bayesiano_TF	('urls', 'norm_letters', 'pruning10')	1220	0.8006666666666666	0.8004537286232998	0.8013125520761122	0.8004200420042005	1250	1152	333	265
50	Bayesiano_TF	('urls', 'norm_letters', 'pruning5')	2585	0.8213333333333334	0.8211863882808583	0.8218176813028657	0.8211287795446212	1275	1189	296	240
51	Bayesiano_TF	('stop_words', 'stemming', 'urls', 'norm_letters')	9748	0.8473333333333334	0.847276248588917	0.8474755476834074	0.8472247224722471	1300	1242	243	215
52	Bayesiano_TF	('stop_words', 'stemming', 'urls', 'pruning10')	1277	0.7863333333333333	0.7862763166040185	0.7863671290672007	0.7862486248624863	1204	1155	330	311
53	Bayesiano_TF	('stop_words', 'stemming', 'urls', 'pruning5')	2429	0.81	0.8099079954698074	0.8101885779961635	0.8098609860986099	1248	1182	303	267
54	Bayesiano_TF	('stop_words', 'stemming', 'norm_letters', 'pruning10')	1282	0.831	0.8306468233586242	0.8327948079652242	0.8306263959729305	1315	1178	307	200
55	Bayesiano_TF	('stop_words', 'stemming', 'norm_letters', 'pruning5')	2451	0.852	0.851821922879763	0.8529458596240365	0.8517385071840518	1330	1226	259	185
56	Bayesiano_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters')	10826	0.8456666666666667	0.8456069508662184	0.845817556795536	0.8455545554555456	1298	1239	246	217
57	Bayesiano_TF	('stop_words', 'lemmatization', 'urls', 'pruning10')	1183	0.7856666666666666	0.7856613081993717	0.7856666666666666	0.7856952361902857	1186	1171	314	329
58	Bayesiano_TF	('stop_words', 'lemmatization', 'urls', 'pruning5')	2348	0.8083333333333333	0.8083041742682859	0.8083263244182304	0.8082908290829083	1231	1194	291	284
59	Bayesiano_TF	('stop_words', 'lemmatization', 'norm_letters', 'pruning10')	1184	0.834	0.8337250181299829	0.8353497418642685	0.8336767010034336	1312	1190	295	203
60	Bayesiano_TF	('stop_words', 'lemmatization', 'norm_letters', 'pruning5')	2357	0.851	0.8509068167604754	0.8513621794871795	0.8508350835083509	1314	1239	246	201
61	Bayesiano_TF	('stop_words', 'urls', 'norm_letters', 'pruning10')	1100	0.784	0.7839984639890774	0.7840295188650774	0.7840517385071841	1180	1172	313	335
62	Bayesiano_TF	('stop_words', 'urls', 'norm_letters', 'pruning5')	2447	0.8106666666666666	0.8105909030278778	0.8107963834117372	0.8105477214388106	1246	1186	299	269
63	Bayesiano_TF	('stemming', 'urls', 'norm_letters', 'pruning10')	1343	0.79	0.7898352308209637	0.7903844535036137	0.7897989798979899	1227	1143	342	288
64	Bayesiano_TF	('stemming', 'urls', 'norm_letters', 'pruning5')	2501	0.8193333333333334	0.8192233407793452	0.8196311716037122	0.8191685835250191	1266	1192	293	249
65	Bayesiano_TF	('lemmatization', 'urls', 'norm_letters', 'pruning10')	1234	0.794	0.793894107372499	0.7941906139709531	0.7938527186051938	1225	1157	328	290
66	Bayesiano_TF	('lemmatization', 'urls', 'norm_letters', 'pruning5')	2392	0.8113333333333334	0.8112578364679205	0.8114636506188904	0.8112144547788112	1247	1187	298	268
67	Bayesiano_TF	('stop_words', 'stemming', 'urls', 'norm_letters', 'pruning10')	1276	0.786	0.7859306415278551	0.7860633788440986	0.7858985898589859	1206	1152	333	309
68	Bayesiano_TF	('stop_words', 'stemming', 'urls', 'norm_letters', 'pruning5')	2429	0.8096666666666666	0.8095659270420719	0.8098882818799831	0.8095176184285096	1249	1180	305	266
69	Bayesiano_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters', 'pruning10')	1178	0.7876666666666666	0.7876581493991037	0.7876553788826943	0.7876821015434877	1191	1172	313	324
70	Bayesiano_TF	('stop_words', 'lemmatization', 'urls', 'norm_letters', 'pruning5')	2335	0.8086666666666666	0.8086359633701228	0.808662569999791	0.8086208620862085	1232	1194	291	283
71	Bayesiano_TF-IDF	('stop_words',)	23175	0.8753333333333333	0.8753324468085106	0.8754273948781958	0.8753900173341037	1309	1317	173	201
72	Bayesiano_TF-IDF	('stemming',)	17683	0.8686666666666667	0.8686666666666667	0.8687052757900351	0.8687052757900351	1303	1303	187	207
73	Bayesiano_TF-IDF	('lemmatization',)	18712	0.879	0.8789928874708302	0.8792568936698695	0.8790901817858572	1307	1330	160	203
74	Bayesiano_TF-IDF	('urls',)	15613	0.8466666666666667	0.8466445834866889	0.8467130569006511	0.8466242944130851	1288	1252	238	222
75	Bayesiano_TF-IDF	('norm_letters',)	23276	0.8786666666666667	0.8786560962643857	0.8789943412572336	0.8787679452420107	1304	1332	158	206
76	Bayesiano_TF-IDF	('pruning10',)	1226	0.836	0.8359614327101794	0.8365935810979214	0.836139383972621	1231	1277	213	279
77	Bayesiano_TF-IDF	('pruning5',)	2667	0.8456666666666667	0.8456501855364779	0.8460162903929558	0.8457731454731321	1253	1284	206	257
78	Bayesiano_TF-IDF	('stop_words', 'stemming')	17603	0.8706666666666667	0.8706657469564227	0.8706717700831468	0.8706875861149385	1310	1302	188	200
79	Bayesiano_TF-IDF	('stop_words', 'lemmatization')	18649	0.8793333333333333	0.8793332797036799	0.879384280593958	0.8793768611938308	1318	1320	170	192
80	Bayesiano_TF-IDF	('stop_words', 'urls')	15424	0.844	0.8439600537737662	0.8441364146590078	0.8439308413707276	1290	1242	248	220
